id,niche,overlap_verdict,overlap_site,serp_verdict,avg_specialists,vol_sum,vol_best,best_kw,cpc_max,lead_value_score,lead_conf,fee_band,sic_magnitude
1,Landlords (buy-to-let),EXCLUDE,property,STRONG_SPECIALISTS,5.33,,,,,3,HIGH,G5: £150-£500/yr single,
2,Property investors,EXCLUDE,property,STRONG_SPECIALISTS,6.67,,,,,4,HIGH,"G5 upper: £1,500-£3,000+ portfolios",
3,Airbnb / holiday-let hosts,EXCLUDE,property,CONTESTED,1.67,,,,,3,MED,G5 +£50-100/property FHL uplift ([business-accounting](https://www.business-acco,
4,Property developers,CAUTION,generalist,CONTESTED,2.33,210,90,property development accountant,,4,MED,"G1 upper £1,500-£5,000 (project cos)",
5,Property management companies,CAUTION,property,CONTESTED,2.67,20,20,property management accountant,,4,LOW,"G1: £750-£2,000+ (service-charge accounts extra, no cited price found)",
6,Estate & letting agents,CAUTION,property,CONTESTED,2.33,140,70,accountants for estate agents,13.55,4,MED,G1 + client-money (CMP) angle,
7,Landed estates / rural estates,CLEAR,,STRONG_SPECIALISTS,9.0,50,30,rural accountant,2.78,4,LOW,"G13/G15: £500+ planning, likely £multi-k; no public pricing",
8,Construction / CIS subcontractors,EXCLUDE,generalist,CONTESTED,2.0,,,,,3,HIGH,"G3: £200-£350 return; refund hook £1,500-£4,000",
9,Builders,EXCLUDE,generalist,STRONG_SPECIALISTS,4.33,,,,,3,HIGH,G3/G1: £200-300/mo CIS contractor-side,
10,Plumbers / heating engineers,CAUTION,generalist,CONTESTED,2.0,10,10,plumber tax,,3,HIGH,"G2/G1: £150-350 ST, £600-1,500 ltd",
11,Electricians,CLEAR,,CONTESTED,2.0,220,70,accountant for electricians,19.9,3,HIGH,= #10 (grouped),
12,Painters & decorators,CLEAR,,CONTESTED,2.0,0,0,,,2,HIGH,= #10 (grouped),
13,Landscapers / gardeners,CLEAR,,CONTESTED,3.33,0,0,,,2,HIGH,= #10 (grouped),
14,Tradespeople (family),CAUTION,construction-cis,STRONG_SPECIALISTS,5.33,130,50,trade accountant,19.97,3,HIGH,G2/G3 blend,
15,Dentists,EXCLUDE,dentists,STRONG_SPECIALISTS,6.33,,,,,5,MED,"G6: from £149.99/mo (~£1,800+/yr), practices well above",
16,Doctors / GPs,EXCLUDE,medical,STRONG_SPECIALISTS,4.67,,,,,5,HIGH,"G6: partners £2,000-£5,000+/yr; salaried £400-£800",
17,Locum doctors,EXCLUDE,medical,CONTESTED,3.33,,,,,4,MED,G4: £60-150/mo ltd packages; [accountantfor from £59.99/mo](https://accountantfo,
18,Locum pharmacists,CLEAR,,STRONG_SPECIALISTS,5.0,10,10,locum pharmacist tax,,3,LOW,"= #17 (grouped, no niche pricing found)",
19,Pharmacies,CAUTION,generalist,STRONG_SPECIALISTS,4.67,600,210,pharmacy accountant,11.6,4,LOW,G6 analog (practice business); no public fee page found,
20,Opticians / optometrists,CAUTION,medical,STRONG_SPECIALISTS,5.33,90,30,optometrist accountant,,4,LOW,G6 analog; no public fee page found,
21,Vets,CLEAR,,STRONG_SPECIALISTS,6.0,120,110,veterinary accountant,19.38,4,LOW,G6 analog; no public fee page found,
22,Therapists & allied health,CLEAR,,STRONG_SPECIALISTS,3.67,50,20,accountant for therapists,22.32,3,MED,"G2/G1: £150-350 ST; small ltd £600-1,500",
23,Nurses / healthcare professionals,CAUTION,medical,CONTESTED,2.0,60,30,accountants for healthcare professionals,14.87,2,MED,"G2: £150-350 (mostly PAYE, thin)",
24,Care homes,CAUTION,medical,STRONG_SPECIALISTS,3.67,190,90,accountants for care homes,19.51,5,HIGH,"G6: £3,000-£7,000/yr (£300-1,000+/mo)",
25,Domiciliary care agencies,CLEAR,,CONTESTED,3.0,0,0,,,4,LOW,"G6 lower/G1: payroll-heavy, no niche price found",
26,Childminders / nurseries,CLEAR,,STRONG_SPECIALISTS,4.0,200,90,accountant for childminders,16.39,2,MED,G2 (childminders) / G1 (nurseries),
27,Foster carers,CLEAR,,CONTESTED,1.67,140,70,foster carer tax,4.25,1,LOW,G2 floor: qualifying care relief often = nil-tax SA; no niche pricing found,
28,Solicitors / law firms,EXCLUDE,solicitors,WEAK_FIELD,1.33,,,,,5,HIGH,"G7: normal fees + £1,500-£2,000 SRA report",
29,Barristers,EXCLUDE,solicitors,CONTESTED,3.33,,,,,3,LOW,"G2 upper/G13: £400+ complex SA (cash basis, chambers expenses)",
30,IT contractors,EXCLUDE,generalist,STRONG_SPECIALISTS,6.0,,,,,4,HIGH,"G4: £60-£150/mo (£720-£1,800/yr)",
31,Freelancers,EXCLUDE,generalist,WEAK_FIELD,0.67,,,,,3,HIGH,G2/G4 blend,
32,Management consultants,CAUTION,contractors-ir35,CONTESTED,1.67,680,320,consultant accountant,24.01,4,HIGH,G4: £60-150/mo,
33,Startups,CAUTION,generalist,CONTESTED,2.0,2330,720,accountant for startups,39.81,3,MED,"G1: £1,500-£5,000 w/ payroll+VAT",
34,Tech / SaaS companies,CLEAR,,STRONG_SPECIALISTS,6.0,530,320,tech accountant,25.09,4,MED,G1 upper + R&D claims (contingent fees typ. % of claim; no fixed cite found),
35,Ecommerce sellers,CAUTION,generalist,STRONG_SPECIALISTS,6.67,1700,720,accountant for ecommerce,35.53,4,HIGH,"G8: £44-£500/mo (£800-£3,500+/yr)",
36,Amazon FBA sellers,CLEAR,,STRONG_SPECIALISTS,6.67,300,110,amazon seller accountant,44.48,4,HIGH,"G8, top of band (international VAT add-ons)",
37,Content creators / influencers,CLEAR,,STRONG_SPECIALISTS,5.67,310,170,accountant for influencers,21.1,3,HIGH,G14: £300 inc VAT SA; ltd upgrades common,
38,OnlyFans creators,CLEAR,,STRONG_SPECIALISTS,4.0,160,70,onlyfans accountant,15.08,3,HIGH,G14: £375+VAT package,
39,Crypto traders / investors,CAUTION,property,STRONG_SPECIALISTS,4.33,1360,880,crypto tax uk,10.47,4,HIGH,"G9: £250-£1,500, majority £750-£2k",
40,Day / forex traders,CAUTION,generalist,CONTESTED,2.0,130,90,accountants for traders,7.06,3,LOW,G9 analog (badges-of-trade advice); no distinct pricing found,
41,Musicians,CLEAR,,STRONG_SPECIALISTS,7.67,200,50,accountant for musicians,,2,MED,G2: £150-350 SA,
42,Actors / entertainment industry,CAUTION,agency,STRONG_SPECIALISTS,5.67,380,110,entertainment accountant,43.31,2,LOW,G2/G13 (touring/withholding adds complexity),
43,Film & TV production,CLEAR,,STRONG_SPECIALISTS,5.33,1710,1600,film accountant,8.84,4,LOW,G1 upper + creative-industry tax reliefs (claim work; no fixed cite found),
44,Artists / creatives,CAUTION,generalist,STRONG_SPECIALISTS,4.0,260,140,accountants for creatives,18.23,2,MED,G2,
45,Authors / writers,CLEAR,,STRONG_SPECIALISTS,5.0,20,20,accountant for writers,,2,MED,G2 (+averaging relief angle),
46,Photographers,CLEAR,,STRONG_SPECIALISTS,3.67,130,40,accountant for photographers,,2,MED,G2/G1,
47,Interior designers,CLEAR,,CONTESTED,1.67,40,30,accountant for interior designers,11.81,3,MED,"G1: £600-1,500",
48,Marketing agencies,EXCLUDE,construction-cis,STRONG_SPECIALISTS,5.0,,,,,4,MED,"G1: £1,500-£5,000 (staff, VAT)",
49,Recruitment agencies,CLEAR,,CONTESTED,2.0,1150,880,recruitment agency accountant,9.54,4,MED,G1 upper (+contractor payroll/umbrella complexity),
50,Architects,CAUTION,generalist,WEAK_FIELD,0.67,120,40,accountant for architects,,3,MED,"G1: £750-2,000+",
51,Engineers / engineering consultants,CAUTION,generalist,CONTESTED,3.33,130,50,engineer accountant,,3,HIGH,G4/G1,
52,Financial advisers / FCA-regulated firms,CAUTION,property,WEAK_FIELD,0.33,170,170,ifa accountant,,4,LOW,"G1 + FCA/CASS assurance; CASS audit cost ""material"", varies widely ([cassauditse",
53,Restaurants,CAUTION,generalist,CONTESTED,3.0,470,110,restaurant tax,,4,HIGH,G11: £75-£500+/mo,
54,Takeaways,CLEAR,,WEAK_FIELD,0.67,10,10,takeaway tax,,3,MED,G11 lower-mid,
55,Pubs & bars,CLEAR,,WEAK_FIELD,1.33,450,140,accountant for pubs,12.28,4,HIGH,G11: £200-£500/mo,
56,Hotels & guesthouses,CLEAR,,WEAK_FIELD,1.0,110,110,hotel accountant,,4,MED,G11 upper; [hotel guide](https://www.business-accounting.co.uk/blog/hotel-accoun,
57,Hospitality (family),CAUTION,generalist,CONTESTED,1.67,1240,390,hospitality accountant,24.02,4,HIGH,G11,
58,Event caterers,CLEAR,,WEAK_FIELD,1.0,10,10,catering accountant,,2,LOW,G11 lower / G2,
59,Travel agents / tour operators,CLEAR,,CONTESTED,2.0,0,0,,,4,LOW,G1 + TOMS specialism premium (specialists exist: [las-accounting](https://las-ac,
60,Hairdressers / barbers / beauty,CLEAR,,STRONG_SPECIALISTS,4.0,60,20,accountant for hairdressers,9.72,2,HIGH,G2: £150-350; chair-rental adds SA volume,
61,Gyms / fitness / personal trainers,CAUTION,generalist,STRONG_SPECIALISTS,4.67,40,10,accountant for personal trainers,26.51,2,MED,G2/G1,
62,Sports clubs,CLEAR,,STRONG_SPECIALISTS,3.67,0,0,,,2,LOW,G12 analog (CASC); no niche pricing found,
63,Footballers / sports professionals,CLEAR,,STRONG_SPECIALISTS,7.33,50,50,sports accountant,12.59,4,LOW,"G13: £500+ planning, image-rights cos = ltd fees on top",
64,Taxi & private-hire drivers,CAUTION,generalist,STRONG_SPECIALISTS,4.67,420,140,taxi accountant,18.66,2,HIGH,G2 floor: £150-£400 documented ([accountingweb](https://www.accountingweb.co.uk/,
65,Couriers / delivery drivers,CAUTION,generalist,STRONG_SPECIALISTS,4.33,20,10,courier accountant,16.9,2,MED,= #64 (grouped),
66,Hauliers / trucking,CLEAR,,STRONG_SPECIALISTS,6.67,140,90,transport accountant,14.17,3,MED,"G1: £750-2,000+ (O-licence, fuel, payroll)",
67,Pilots / aviation,CLEAR,,CONTESTED,2.0,10,10,aviation accountant,7.84,2,LOW,G2/G4; no UK niche pricing found,
68,Farmers / agriculture,CAUTION,generalist,STRONG_SPECIALISTS,7.33,410,320,agricultural accountant,15.19,5,LOW,"G15: specialists confirm complex scope (averaging, herd basis, APR/BPR — [swift-",
69,Retail / independent shops,CLEAR,,WEAK_FIELD,0.33,250,210,retail accountant,25.22,3,MED,"G1: £600-1,500",
70,Used car dealers / automotive,CLEAR,,STRONG_SPECIALISTS,5.33,80,40,car dealer accountant,8.28,3,LOW,G1 + margin-scheme VAT specialism,
71,Jewellers,CLEAR,,CONTESTED,1.5,0,0,,,2,LOW,G1,
72,Cake makers / food producers,CLEAR,,STRONG_SPECIALISTS,5.33,0,0,,,2,LOW,G2/G1,
73,Manufacturing,CAUTION,generalist,WEAK_FIELD,0.67,260,170,manufacturing accountant,,4,MED,"G1 upper £1,500-£5,000+ (payroll, stock, capital allowances)",
74,Charities / non-profits,CLEAR,,CONTESTED,2.67,2570,590,accountant for charities,11.56,4,HIGH,"G12: IE £400-£2,500; audit £5,000-£20,000+",
75,CICs / social enterprises,CLEAR,,CONTESTED,3.33,90,90,cic accountant,14.51,3,LOW,G12 lower / G1,
76,Churches / religious organisations,CLEAR,,CONTESTED,3.0,30,10,accountant for churches,7.62,1,MED,G12 lower: IE £0-£250 seen ([accountingweb](https://www.accountingweb.co.uk/any-,
77,Schools & academies,CAUTION,generalist,CONTESTED,2.0,50,20,academy accountant,,5,HIGH,G12 top: academy audits averaged ~£10k/trust ([schoolbusinessservices](https://w,
78,Tutors / private teachers,CLEAR,,WEAK_FIELD,1.0,10,10,private tutor tax,,1,MED,G2 floor,
79,Driving instructors,CLEAR,,CONTESTED,3.33,60,50,driving instructor accountant,21.03,2,MED,G2: £150-350,
80,Expats / non-residents,CAUTION,property,STRONG_SPECIALISTS,7.67,230,170,uk expat tax,16.47,5,HIGH,G10: £300-£500+; specialist flat fees ~$910 (≈£700) ([greenback](https://www.gre,
81,High-net-worth individuals,CAUTION,generalist,CONTESTED,3.33,140,50,accountant for high net worth individuals,12.36,5,MED,"G13: £400+ returns, £500+ planning, £300-800/mo advisory",
82,Franchisees,CLEAR,,CONTESTED,3.0,300,140,franchise accountant,6.67,3,LOW,"G1: £600-1,500",
83,Virtual assistants,CLEAR,,WEAK_FIELD,0.33,20,10,virtual assistant accountant,35.51,1,MED,G2 floor,
84,Neurodivergent business owners,CLEAR,,STRONG_SPECIALISTS,4.33,40,30,adhd accountant,1.14,2,LOW,"Cuts across bands (positioning, not economics)",
85,Energy & renewables,CLEAR,,STRONG_SPECIALISTS,4.33,440,390,energy accountant,,3,LOW,G4 (O&G contractors) / G1 upper,
86,Life sciences / pharma,CLEAR,,CONTESTED,2.67,10,10,biotech accountant,,3,LOW,G1 upper + R&D claims,
87,Maritime,CLEAR,,STRONG_SPECIALISTS,4.67,440,260,seafarers earnings deduction,3.18,3,LOW,G2/G10: SED claims are specialist SA work; no UK fee page found,
88,Security firms,CLEAR,,CONTESTED,3.0,0,0,,,3,LOW,G1,
89,Cleaning businesses,CLEAR,,CONTESTED,2.0,10,10,cleaner tax,,2,MED,G2/G1,
