slug,category,old_keyword,new_keyword
agency-break-even-monthly-revenue-pricing,Agency Finance Essentials,agency finance basics,agency break even revenue calculation
agency-gross-margin-vs-net-profit-margin,Agency Finance Essentials,agency finance basics,agency net profit margin improvement
agency-gross-profit-margin-benchmarks-by-agency-type,Agency Finance Essentials,agency profit margins,agency gross profit margin benchmarks
healthy-net-profit-margin-small-agency-2025-26,Agency Finance Essentials,agency profit margins,uk small agency net profit margin 2025
invoice-discounting-agency-cash-flow-bridge-gaps-without-debt,Agency Finance Essentials,agency cash flow,invoice discounting for agency cash flow
retainer-revenue-agency-cash-flow-switch,Agency Finance Essentials,agency cash flow,agency retainer cash flow impact
vat-client-entertainment-costs-agency-reclaim,Tax and Compliance,VAT for agencies,VAT reclaim client entertainment UK
vat-treatment-subcontracted-freelancer-costs-agency-principal,Tax and Compliance,VAT for agencies,VAT freelancer costs principal invoicing
corporation-tax-bad-debt-relief-agency,Tax and Compliance,corporation tax agency,uk corporation tax bad debt relief
corporation-tax-retainer-prepayments-agency-founders,Tax and Compliance,corporation tax agency,corporation tax retainer prepayment agency
chart-of-accounts-mtd-itsa-agency,Making Tax Digital,making tax digital agency,making tax digital chart of accounts
mtd-compatible-software-features-agency-multiple-projects-clients,Making Tax Digital,making tax digital agency,mtd software features multi client agency
mtd-itsa-agency-founders-freelance-income,Making Tax Digital,MTD ITSA agency,MTD ITSA agency founder freelance income
mtd-itsa-late-filing-penalties-agency-founders,Making Tax Digital,MTD ITSA agency,MTD ITSA late filing penalties agency founders
pay-yourself-agency-holding-company-director,Salary and Dividends,pay yourself agency founder,director salary holding company uk
pay-yourself-agency-founder-retained-losses-bonus-instead-dividends,Salary and Dividends,pay yourself agency founder,bonus instead of dividends retained losses
adjust-salary-dividend-split-mid-year-agency-profit-forecast,Salary and Dividends,salary dividend split agency,adjust salary dividend split mid year
salary-dividend-split-agency-pension-contributions,Salary and Dividends,salary dividend split agency,agency founder pension salary dividend
when-to-incorporate-agency-recruitment-vs-creative,Incorporation and Structure,when to incorporate agency,incorporation differences recruitment creative agency
unequal-profit-shares-incorporating-partnership-agency,Incorporation and Structure,when to incorporate agency,incorporating partnership with unequal profit shares
share-buyback-exit-co-founder-agency-tax-efficiently,Growth and Exit,selling agency tax UK,share buyback co-founder exit tax uk
earn-out-payments-tax-selling-agency-competitor,Growth and Exit,selling agency tax UK,earn out tax treatment selling agency
qualify-for-badr-agency-shares-2025-cgt-changes,Growth and Exit,BADR agency founders,BADR agency shares 2025 qualification
badr-2-year-holding-period-agency-founders,Growth and Exit,BADR agency founders,badr 2 year holding period agency
determine-ir35-status-contractor-limited-company-agency,Contractors and IR35,IR35 agency founders,IR35 status limited company contractor
what-is-included-in-typical-agency-accountant-fee,Agency Accountant Services,agency accountant cost,agency accountant fee breakdown
hmrc-compliance-check-agency-freelancer-payments,Tax and Compliance,agency tax compliance UK,hmrc compliance check freelancer payments
salary-sacrifice-vs-dividend-waiver-spouse-shareholders-agency-founders,Salary and Dividends,agency founder pay yourself salary dividend,agency founder spouse salary sacrifice tax
accrual-accounting-mistakes-agency-founders,Agency Finance Essentials,agency finance fundamentals,agency accrual accounting profitability mistakes
side-hustle-to-limited-company-cost-incorporating-agency-2025-26,Incorporation and Structure,incorporating agency UK guide,side hustle incorporation cost UK 2025
selling-your-agency-tax-guide-retainer-contracts,Growth and Exit,selling your agency tax guide,selling agency retainer contracts tax
ir35-multi-client-retainers-fixed-fee-risk,Contractors and IR35,IR35 agency complete guide,IR35 fixed fee retainer risk
accountants-role-agency-exit-planning,Agency Accountant Services,choose accountant for agency,agency exit planning accountant role
migrate-agency-data-spreadsheets-mtd-software,Making Tax Digital,MTD agency founder guide,migrate historical data MTD software
vat-one-off-us-client-project-uk-agency,International Agencies,UK agency international operations guide,UK agency US client VAT
